step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,50,29346496512000,2.62771,2.51726,24.35
500,50,44197478400000,2.49453,2.4638,46.7
750,50,59048460288000,2.45722,2.43754,69.04
1000,100,88394956800000,2.375,2.30965,93.08
1250,100,103245938688000,2.24887,2.15902,115.42
1500,100,118096920576000,2.12888,2.07139,137.75
1750,150,147443417088000,2.00918,1.97077,161.79
2000,150,162294398976000,1.91357,1.92304,184.17
2250,150,177145380864000,1.85487,1.88346,207.09
2500,151,192286273044480,1.81871,1.85803,229.49
2750,200,221342859264000,1.78109,1.83444,253.49
3000,200,236193841152000,1.75929,1.82551,275.83
3250,200,251044823040000,1.74591,1.80326,298.18
3500,250,280391319552000,1.72251,1.79051,322.19
3750,250,295242301440000,1.70859,1.78562,344.54
4000,250,310093283328000,1.70188,1.77218,366.88
4250,300,339439779840000,1.6887,1.75859,390.91
4500,300,354290761728000,1.67278,1.7411,413.25
4750,300,369141743616000,1.66196,1.73584,435.58
5000,302,384572546088960,1.65209,1.72897,458.02
5250,350,413339222016000,1.7706,1.68511,481.99
5500,350,428190203904000,1.72265,1.65312,504.33
5750,350,443041185792000,1.69633,1.63016,527.14
6000,400,472387682304000,1.67391,1.61339,551.29
6250,400,487238664192000,1.65876,1.60182,573.65
6500,400,502089646080000,1.64552,1.59623,595.98
6750,450,531436142592000,1.63661,1.58524,620.01
7000,450,546287124480000,1.62566,1.57682,634.54
7250,450,561138106368000,1.62356,1.57396,650.88
7500,453,576858819133440,1.61982,1.57048,667.31
7750,500,605335584768000,1.60781,1.56696,685.14
8000,500,620186566656000,1.60838,1.56239,701.48
8250,500,635037548544000,1.60563,1.56048,717.82
8500,550,664384045056000,1.60394,1.55793,735.73
8750,550,679235026944000,1.60085,1.558,752.09
9000,550,694086008832000,1.60266,1.55694,768.42
9250,600,723432505344000,1.59994,1.55589,786.33
9500,600,738283487232000,1.60068,1.55558,802.66
9750,600,753134469120000,1.60076,1.55567,818.99
10000,604,769145092177920,1.59859,1.55561,835.43
