step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
200,50,26376300134400,2.74268,2.54369,21.84
400,50,38257085644800,2.5204,2.48236,41.77
600,50,50137871155200,2.47825,2.46316,61.82
800,50,62018656665600,2.45642,2.43793,81.78
1000,100,88394956800000,2.37898,2.32024,103.53
1200,100,100275742310400,2.29816,2.22128,123.46
1400,100,112156527820800,2.20783,2.12641,143.39
1600,100,124037313331200,2.13304,2.07961,163.32
1800,150,150413613465600,2.036,2.00034,185.05
2000,150,162294398976000,1.96143,1.9574,205.09
2200,150,174175184486400,1.90796,1.91488,225.0
2400,150,186055969996800,1.85993,1.89226,244.91
2600,200,212432270131200,1.81343,1.85576,266.54
2800,200,224313055641600,1.77999,1.82754,286.59
3000,200,236193841152000,1.75759,1.82437,306.54
3200,200,248074626662400,1.73966,1.8112,325.44
3400,250,274450926796800,1.72226,1.79687,347.02
3600,250,286331712307200,1.70163,1.78651,368.58
3800,250,298212497817600,1.69062,1.77094,389.59
4000,250,310093283328000,1.68156,1.75791,410.77
4200,285,332120929075200,1.66987,1.75223,431.97
4400,300,348350368972800,1.6586,1.74009,453.1
4600,300,360231154483200,1.65111,1.74038,473.58
4800,300,372111939993600,1.64264,1.73102,493.61
5000,302,384572546088960,1.63986,1.72841,513.59
5200,350,410369025638400,1.62887,1.71703,535.2
5400,350,422249811148800,1.62485,1.717,561.77
5600,350,434130596659200,1.78403,1.69978,586.45
5800,350,446011382169600,1.7307,1.66947,611.18
6000,400,472387682304000,1.69713,1.64524,637.73
6200,400,484268467814400,1.68121,1.63157,662.98
6400,400,496149253324800,1.6688,1.62275,678.9
6600,400,508030038835200,1.6597,1.61295,692.13
6800,450,534406338969600,1.64651,1.60075,706.95
7000,450,546287124480000,1.63612,1.59509,721.64
7200,450,558167909990400,1.63214,1.59039,734.87
7400,450,570048695500800,1.62751,1.58635,748.1
7600,500,596424995635200,1.61955,1.58132,762.9
7800,500,608305781145600,1.6154,1.57953,776.14
8000,500,620186566656000,1.61296,1.57623,789.46
8200,500,632067352166400,1.6115,1.57401,802.76
8400,550,658443652300800,1.60871,1.572,817.56
8600,550,670324437811200,1.60536,1.57059,830.8
8800,550,682205223321600,1.60284,1.56953,844.04
9000,550,694086008832000,1.60376,1.56868,858.59
9200,587,716693475164160,1.60174,1.56733,873.1
9400,600,732343094476800,1.60314,1.5677,886.75
9600,600,744223879987200,1.60213,1.56743,899.99
9800,600,756104665497600,1.60248,1.56725,913.22
10000,604,769145092177920,1.60354,1.56724,926.57
