step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,25,21947744256000,2.6877,2.5606,7.01
500,50,43895488512000,2.54263,2.50888,13.87
750,75,65843232768000,2.51717,2.50245,20.7
1000,100,87790977024000,2.50329,2.49419,27.54
1250,125,109738721280000,2.49845,2.49991,34.37
1500,150,131686465536000,2.49351,2.48048,41.2
1750,175,153634209792000,2.46979,2.46673,48.05
2000,200,175581954048000,2.45718,2.45822,54.88
2250,225,197529698304000,2.45107,2.44955,61.72
2500,250,219477442560000,2.44039,2.4569,68.56
2750,275,241425186816000,2.41878,2.41328,75.4
3000,300,263372931072000,2.39892,2.39525,82.24
3250,325,285320675328000,2.38206,2.37518,89.08
3500,350,307268419584000,2.36439,2.37046,95.92
3750,375,329216163840000,2.34691,2.33864,102.75
4000,400,351163908096000,2.33012,2.31339,109.6
4250,425,373111652352000,2.31423,2.29865,116.44
4500,450,395059396608000,2.3048,2.28824,123.29
4750,475,417007140864000,2.30042,2.28342,130.14
5000,500,438954885120000,2.30056,2.28308,136.97
