step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,25,21947744256000,2.62515,2.5588,6.96
500,50,43895488512000,2.54172,2.52398,13.76
750,75,65843232768000,2.52964,2.50933,20.56
1000,100,87790977024000,2.51693,2.50496,27.37
1250,125,109738721280000,2.50452,2.496,34.18
1500,150,131686465536000,2.49149,2.49591,40.99
1750,175,153634209792000,2.48383,2.48865,47.81
2000,200,175581954048000,2.47733,2.48264,54.62
2250,225,197529698304000,2.46705,2.47427,61.44
2500,250,219477442560000,2.46186,2.46246,68.26
2750,275,241425186816000,2.46057,2.45493,75.07
3000,300,263372931072000,2.45099,2.45293,81.89
3250,325,285320675328000,2.45151,2.44612,88.71
3500,350,307268419584000,2.44623,2.44156,95.52
3750,375,329216163840000,2.44235,2.43807,102.34
4000,400,351163908096000,2.44096,2.43488,109.15
4250,425,373111652352000,2.43994,2.43314,115.96
4500,450,395059396608000,2.43848,2.43236,122.79
4750,475,417007140864000,2.4393,2.43198,129.61
5000,500,438954885120000,2.44042,2.43186,136.43
