step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,25,21947744256000,2.60482,2.50866,6.99
500,50,43895488512000,2.48547,2.46084,13.81
750,75,65843232768000,2.3891,2.30224,20.64
1000,100,87790977024000,2.2325,2.14182,27.48
1250,125,109738721280000,2.1489,2.0876,34.32
1500,150,131686465536000,2.09726,2.05293,41.15
1750,175,153634209792000,2.02894,1.98393,47.98
2000,200,175581954048000,1.95929,1.92725,54.82
2250,225,197529698304000,1.90936,1.89349,61.67
2500,250,219477442560000,1.87942,1.87226,68.52
2750,275,241425186816000,1.85799,1.86269,75.38
3000,300,263372931072000,1.83788,1.85495,82.24
3250,325,285320675328000,1.82731,1.84427,89.08
3500,350,307268419584000,1.81495,1.84067,95.93
3750,375,329216163840000,1.80684,1.83741,102.77
4000,400,351163908096000,1.80562,1.8328,109.62
4250,425,373111652352000,1.80012,1.83147,116.47
4500,450,395059396608000,1.80003,1.83032,123.31
4750,475,417007140864000,1.80048,1.83024,130.15
5000,500,438954885120000,1.80123,1.83032,137.0
