step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,25,21947744256000,2.6138,2.51753,6.98
500,50,43895488512000,2.49553,2.47137,13.82
750,75,65843232768000,2.47241,2.45591,20.64
1000,100,87790977024000,2.44923,2.42492,27.47
1250,125,109738721280000,2.45206,2.43226,34.3
1500,150,131686465536000,2.41674,2.41608,41.13
1750,175,153634209792000,2.41075,2.39246,47.96
2000,200,175581954048000,2.39593,2.38529,54.8
2250,225,197529698304000,2.3997,2.37914,61.63
2500,250,219477442560000,2.35779,2.33085,68.46
2750,275,241425186816000,2.32105,2.28701,75.29
3000,300,263372931072000,2.29257,2.2676,82.15
3250,325,285320675328000,2.32464,2.29461,88.99
3500,350,307268419584000,2.26554,2.21507,95.83
3750,375,329216163840000,2.27544,2.28789,102.67
4000,400,351163908096000,2.26766,2.2788,109.52
4250,425,373111652352000,2.21682,2.19726,116.39
4500,450,395059396608000,2.19989,2.17897,123.23
4750,475,417007140864000,2.19525,2.17488,130.09
5000,500,438954885120000,2.1954,2.1749,136.93
