step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,250,87177560064000,2.51424,2.45555,12.74
500,300,162758708428800,2.30803,2.22817,24.4
750,300,226743445094400,2.07189,2.04506,35.04
1000,300,279131770060800,1.91455,1.9154,44.67
1250,300,319923683328000,1.81264,1.8394,53.26
1500,300,349119184896000,1.75119,1.79677,60.79
1750,300,363819171840000,1.72693,1.77766,66.98
2000,300,378519158784000,1.7086,1.7643,73.17
2250,300,393219145728000,1.68937,1.74977,79.36
2500,300,407919132672000,1.67892,1.73756,85.55
2750,300,422619119616000,1.67003,1.73205,91.74
3000,300,437319106560000,1.65992,1.7256,97.93
3250,300,452019093504000,1.65465,1.71826,104.11
3500,300,466719080448000,1.64755,1.71543,110.3
3750,300,481419067392000,1.64204,1.71395,116.49
4000,300,496119054336000,1.64277,1.70822,122.67
4250,300,510819041280000,1.63847,1.708,128.84
4500,300,525519028224000,1.63898,1.70667,135.01
4750,300,540219015168000,1.63983,1.70677,141.18
5000,300,554919002112000,1.63965,1.70665,147.36
